strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
180201510104,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201580206,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180701020504,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
171003011007,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180500030301,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201580303,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180902061308,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180300061001,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
171003080102,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180102070102,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180400091307,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600130201,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600010303,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180703030402,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
181002010102,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600090201,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101060303,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180102040404,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180600020506,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180201040807,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180701060101,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
180101050301,bCALTx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
